comment,label
[CLS]الان به قدری رسیده که توی فک و فامیل همه حسرت زندگی منو میخوردن .[SEP]در این داستان، شخصی که مهمانی داده بود، به دلیل ناراحتی از غذاهایی که سرو کرده بود، با مادر و پدر مرحومش به شدت مورد تحقیر قرار می‌گیرد. او در نهایت تحمل نمی‌کند و با بلند شدن صدایش و گریه کردن، داداشش را صدا می‌زند.[PAD],other
[CLS]جهنمبیکاری با اینها میری تفریح😵🥴[SEP]یک زن در یک ساختمان با جاری بزرگ و مادرشوهر زندگی می کند. جاری او را مورد آزار و اذیت قرار می دهد و خانواده او به او اعتماد نمی کنند. در یک دعوا با شوهرش، مادرشوهر او او را به اتهام آزار پسرش متهم کرد و او را به خاطر این اتهام مورد تهدید قرار داد.[PAD],conform
[CLS]وسایلتو جمع کن درو باز کردن اول برو شکایت کن بعدم برو خونه پدر مادرت.[SEP]دختری به شوخی به سرم مشت زد و شوهرم هم کتکم زد و به من فحش داد. الان در خانه قفل شده و من درد دارم و نمیتوانم به خانواده ام بگویم.[PAD],confront
[CLS]متنفرم از همه مردا[SEP]یک زن را پیدا کردم و شکایت کردم. دستور قضایی گرفتم و الان او متاهل و دختر دار است. شوهرم نیز به من خشونت می‌کند و مواد مخدر در جیبش پیدا شده است.[PAD],empathy
[CLS]چرا باز بچه اوردی اخه..[SEP]یک زن بیش از ده سال با شوهرش ازدواج کرده بود و در ابتدا شوهرش هیچ چیز نداشت. اما پس از گذشت چند سال، شوهرش به زن وعده داده بود که خانه جدیدی برایشان بخرد، اما این وعده ها به اجرا در نیامد و رابطه آنها به تنش بالا رفت. در نهایت، زن تصمیم گرفت که به کار برود و وام بگیرد.[PAD],conform
[CLS]شما و همسرتون چندسالتونه؟[SEP]شوهرم من را زده و تهدید می‌کند که اگر شکایت کنم، مرا می‌کشد و طلاق نمی‌دهد. من در حال درد و رنج هستم و نمی‌دانم چه کار کنم.[PAD],other
[CLS]تا جاییکه میتونی به هیچ عنوان نذار کسی بفهمه .من چوبشو خیلی بد خوردم.طوریکه الان آرزو میکنم برگردم عقب کاش زنگ نمیزدم.الانم اصلا طرف شوهرت نرو به هیچ عنوان.صبر کن یکی دو روز دیگه خودش آروم میشه.تو دعوام طرفه مردا نباید رفت اونا خشونت با حرکت نشون میدن ما زنا با جیغ و داد.به بابات اینام بگو یه دعوا ساده بود کش پیدا کرد[SEP]زن و شوهر در بحث شدیدی قرار گرفتند و خودم هم لج کردم. همسایگان و پدر شوهرم این بحث را شنیدند و خوشحال شدند. من به بابام زنگ زدم و از اینکه او ناراحت و ترسیده بود، پشیمان شدم. همچنین، شوهرم نیز عصبانی شد و برخی از قسمت‌های بدنم آسیب دیده بود. به همین دلیل، داد و بیداد کردم و زنگ زدم تا او نیز ترسیده شود. من بسیار ناراحت و پشیمان هستم.[PAD],conform
[CLS]دست و پا دارید بتونید از پس خودتون بر بیاد ؟[SEP]شوهرم من را زده و تهدید می‌کند که اگر شکایت کنم، مرا می‌کشد و طلاق نمی‌دهد. من در حال درد و رنج هستم و نمی‌دانم چه کار کنم.[PAD],other
[CLS]مگه مامور اونجا نبود؟؟اتفاقا باید می.فتی بنویسه.الانم سریع استرداد جهیزیه بزن.انقدر بدم میاد موقع عروسی وجهاز خریدن پسرا و ننه باباشون ابجیشون که هیچی تا دختر عموم ودختر خاله یمشت ادم دیگه اظهار نظر میکنن وحواسشون هست چیزی کم نباشه.پدر عروس طفلکی.بعد موقع طلاق ودعوا فوری جهیزیه مردمو صاحب میشن ومیکشن بالا.بیخورد کرده وقتی وسایلت توخونه بوده درو قفل کرده[SEP]فحاشی کردم و شکایت کردم. به کلانتری رفتم و در خانه قفل عوض شده بود.[PAD],confront
"[CLS]برو از مادر شوهر شکایت کن به جرم تهمت[SEP]شوهرم خونه مادرش بود و من بهش زنگ زدم تا با پسرم صحبت کنه.,وقتی اومد خونه، دعوا راه انداخت و تهدید کرد که مرا بزند.,شوهرم معتاد است و رفتارش بدتر شده، نمی‌دانم دوباره مواد مصرف کرده یا نه.[PAD]",confront
[CLS][QUOTE=121 612955]  خودمم همین تصمیمو گرفتم [/QUOTE]الهی که خدا کمکت کنه و بترس از این آدم خدای نکرده میزنه ناقص ات میکنه و بعدش میگه برو طلاق بگیر فقط ب فکر امنیت خودت باش[SEP]شوهر زن، زن را تحت تاثیر قرار داده و او را به خانه پدرش برده است.[PAD],confront
[CLS]ایشالا ک زنده باشم و ببینم چه بلائی سرش میاد[SEP]یک زن به خانه پدرش با شوهر و خانواده شوهرش برگشته است. پدر و خانواده او او را نادیده می‌گیرند و شوهرش او را مورد خشونت قرار داده است. او از زندگی خود ناراضی است.[PAD],empathy
[CLS]به خودش زنگ بزنی مانعت میشه یه راست برو شکایت کن[SEP]دختری که توسط شوهرش مورد ضرب و شتم قرار گرفته، تصمیم می‌گیرد به خانواده خودش زنگ بزند و درباره طلاق صحبت کند. او نگران واکنش شوهرش است که قبلاً او را تهدید کرده است. دختر توضیح داده که شرایطش چگونه است و می‌خواهد با زبان خوش بیاید طلاقش را بگیرد.[PAD],confront
[CLS]انشاالله نگاه قشنگ خدا طرف پنجره خونت[SEP]در یک شب، شوهرم من را مورد خشونت قرار داد و من به پدرم زنگ زدم و کلانتری را صدا زدم. روز بعد، من به پزشکی قانونی رفتم و ناخن هایم شکسته بود. سپس یک نامه به شورای حل اختلاف دادم و منتظر جلسه بودم.[PAD],empathy
[CLS]پرید بهم.[SEP]شوهرم دیشب به طور ناگهانی من را ضربه زد. او با خشونت و خشم وحشتناکی عمل کرد و من تلاش کردم خودم را دفاع کنم اما نتوانستم. این واقعه باعث خستگی و ناراحتی زیادی در من ایجاد کرده است.[PAD],empathy
[CLS]خطت و عوض کن[SEP]در داستان، شخصی به من تندی زده و من از این خاطرات ناراحت میشوم. یک بار کمرم به گوشه میز خورد و یک بار سرم به اپن زده شد و من فکر کردم که بیهوش میشوم.[PAD],confront
[CLS]خدا یجوری عوضشو درمیاد میگن چوب خدا صدا نداره شوهرم زد بینیم شکست درسته برد عمل پشیمونم شد ولی الان یجوری داره تقاص پس میده که خودشم پشیمون ولی پشیمونی سودی نداره وقتی دلمو شکونده[SEP]شوهرم بد اخلاق است و با همه جنگ می‌کند و ما را مورد آزار و اذیت قرار می‌دهد. من نمی‌دانم چگونه با او برخورد کنم تا آرامش بیابم. او حتی جلوی خانواده‌ام نیز به من حمله کرده و خانه را ترک کرده است.[PAD],empathy
[CLS]شوهرت معتاد نیس[SEP]در این داستان، زن مشکلات روحی و جسمی خود را به دلیل خشونت همسرش توصیف می کند. او نمی داند چه کاری درست است و به دنبال راهنمایی است.[PAD],other
[CLS]اه اه این دیونه است چقد بیماره[SEP]شوهرم کتکم زد و من باردار هستم. او پیشنهاد کرد قرص سقط بخرم. من قبول کردم ولی الان او نمی‌خواهد.[PAD],confront
[CLS]😕😕😕😕😕😕😕😕😕😕😕😕😕😕😕😕😕[SEP]در داستان، شخص اصلی در حال تماشای فیلم است و درخواست می‌کند تا یک صحنه خاص را به او نشان دهند. در این حین، شخص دیگری به طور ناگهانی و بدون اطلاع، به گوش او ضربه می‌زند و او از این حادثه ناراحت می‌شود. در نهایت، آنها به توافق نمی‌رسند و شخص اصلی عصبانی می‌شود.[PAD],empathy
"[CLS]البته اگ شوهرش ازین وحشیایی ک همیشه میزنن نباشه[SEP]در یک دعوا با شوهرم، او به من ضربه زده است و من درد سر دارم.,احساس می کنم او با این رفتارش من را سرد کرده است و دیگر از او خوشم نمی آید.,نمی دانم چه کاری باید بکنم.[PAD]",conform
[CLS]نه با یه نامه پزشکی قانونی حکم طلاق نمیدن[SEP]شخصی که می‌خواهد طلاق بگیرد، به مشاوره رفت اما گول زده شد و تنها دو جلسه حضور داشت. بعد از آن، همسرش او را ضرب و جرح کرد و او به پزشکی قانونی مراجعه کرد. پزشکی قانونی او را به کلانتری ارجاع داد.[PAD],other
"[CLS]علت کتک خوردن[SEP]دختری که از شوهرش شکایت می‌کند چون او را زده است.,او می‌خواهد بداند کجا باید برود و چگونه پیگیری کند.,او همچنین می‌خواهد توضیح دهد کسانی که او را به شوهرش می‌گویند کجابود.[PAD]",conform
"[CLS]طفلی بچه💔[SEP]بچه به ننه و بابای شوهرش محل نمیده و کتک می‌خورد.,بدن بچه داغ استخوان دستش درد می‌کند و صورتش قرمز شده است.,بچه نمی‌داند چه کاری باید بکند.[PAD]",empathy
"[CLS]توهين نكردمميگم تو كه مادري مسئولي بچتو تو شرايطي بزرگ كني كه استرس و اضراب ازش دور باشه وگرن عصبي  و باافكار بيمار بزرگ ميشه و اين دعوا و كتك كاري توي ضمير ناخوداگاهش ثبت ميشه و تا هميشه اذيتش ميكنهاينكه داري ميموني تو زندگي كتك ميخوري هيچ كمكي به اون طفل معصوم نميكنيبهش ظلم ميكني مامان فداكار[SEP]در یک شب، همسرم به من حمله کرد و من را مورد خشونت قرار داد.,او با مشت و لگد به من حمله کرد و من از این حادثه آسیب دیدم.,اکنون درد و تهوع در بدنم حاکم است و نمی‌توانم حتی سرم را تکان دهم.[PAD]",confront
[CLS]چه حرفا😨وکیلت چی میگه؟من خودم نمیرم اصلا.وکیلم میره.نمیخوام ریختشوببینم وحرفای چرتشوبشنوم.[SEP]مردی که به خاطر ضرب و شتم به حبس و ترک نفقه محکوم شده، درخواست طلاق می‌دهد و قاضی موافقت می‌کند. او نگران است که اعتراضات و تجدیدنظر ممکن است حکم را لغو کنند و می‌خواهد بداند چقدر طول می‌کشد و آیا کسی تجربه مشابهی داشته است.[PAD],empathy
[CLS]خانوادش چی میگن و باهات چجورنبا اوناحرف بزن[SEP]شوهرم پسرم را به خاطر گریه کردن کتک زد و من هم سقط کردم. مامانم هم کتکم زد و من را از خانه بیرون کرد.[PAD],confront
[CLS]تورو خدا این دیگه چیه تاپیک میکنین دیگه چی مونده به نظرتون😐✋[SEP]در داستان، شخص اصلی در حال تماشای فیلم است و درخواست می‌کند تا یک صحنه خاص را به او نشان دهند. در این حین، شخص دیگری به طور ناگهانی و بدون اطلاع، به گوش او ضربه می‌زند و او از این حادثه ناراحت می‌شود. در نهایت، آنها به توافق نمی‌رسند و شخص اصلی عصبانی می‌شود.[PAD],conform
[CLS]آخی طفلک چقدر روحش نا متعادله😞😞😞[SEP]در این داستان، زوجی بعد از دعوا و خشونت، تصمیم می‌گیرند جدا شوند.[PAD],empathy
[CLS]چقدر الکی قهر کردید آخه چ ربطی به شما داشته که با شما بحث کرده[SEP]بچه ها با شوهر دعوا کردند و اونها رو زده است. حالا بچه ها میخواهند به خانه مادرشان بروند.[PAD],conform
[CLS]کاش یه جوری میرفتی که دیگه دعوا نشه باز هم بخواد دست روت بلند کنه[SEP]در این داستان، زوجی به دلیل مشاجره با همدیگر به شدت دعوا می‌کنند. در نهایت، شوهر به همسر خود تهدید می‌کند که از چاقو استفاده می‌کند.[PAD],conform
[CLS]آخی عزیزم...[SEP]یک زن پیامی از یک نفر دریافت کرد که شوهرش در مورد اون خانم حرف بی ادبی زده بود. زن ناراحت شد و با شوهرش جدال کرد و سپس خشمگین شده و از او دلخور شد.[PAD],empathy
[CLS]بابا الان بچه آخه؟؟؟شوهرتونو که دیدی همین الان چجوری رفتار کرد بچه بیاد توجه از رو شوهر برداشته میشه میره رو بچه اونم بدتر میشه بچه تو خانواده شما به خدا که افسرده میشه ما می‌فهمیم حال بچه رو تو این جامعه، و این خانواده که حداقل یک بار کتک کاری کردن.[SEP]زنی که از تنهایی و خشونت شوهرش خسته شده است، برای تزریق آمپول آی وی اف به بیمارستان می‌رود. اما شب قبل از اینکه برود، شوهرش او را مورد ضرب و شتم قرار می‌دهد و اظهار می‌کند که هیچکسی را ندارد و تنها در خانه با گوشی سرگرم می‌شود. او دلخواه دارد به خانه مادرش برود.[PAD],confront
[CLS]حالا که عذر خواهی کرده ،ببخششدفعه ی بعد ببینه با عذرخواهی و منت کشی جواب نمیگیره،شاید دیگه منت کشی نکنه[SEP]در یک بحث کوچک با شوهرم، او پشتش را به من کرد و من با پا به او زدم. او با قدرت به صورتم زد و من صورتم ورم شد و درد دارم. او پشیمان شد و من هم از او فحش گرفتم و از او دور شدم.[PAD],conform
[CLS]ریشه دعوا رو پیدا کنید و درست کنیدبعضیا فکر میکنند تو زندگی زن و شوهر حتما باید دعوا پیش بیاد اما به نظر من میشه طوری زندگی کرد بدون دعوا ...با هم بسازید از قضاوت ها کم کنید ، همدیگه رو همینطور که هستید دوست بدارید و بپذیرید با هر عیب و نقصی ، گاهی گذشت ، گاهی صبوری ، توکل کنید بر خدا میدونید همسر همه زندگی آدم نیست ما اول مسئول رفتار و کردار خودمون هستیم اول خودمون باید رفتار درستی داشته باشیم ،بعد دنیامون با رفتار ما ساخته میشه .[SEP]در داستان، زوجی وجود دارند که درگیر نزاع هستند و شوهر قادر به دفاع نیست. در نهایت، شوهر به طور فزاینده به همسر خود ضربه میزند و همسر نیاز به درمان روانشناسی دارد.[PAD],conform
[CLS]اول برو پزشک قانونی.[SEP]در یک دعوای شدید با شوهرم، گوشم به طور ناگهانی بسته شد.[PAD],confront
"[CLS]حقته الان نيم ساعته عضو نى نى سايت شدى فكر كردى ميتونى بقيه رو گول بزنى👎🏻👎🏻👎🏻👎🏻[SEP]شوهرم من را زیر مشت و لگد قرار داد.,درد میکنم و نمی‌دانم چه کار کنم.,نظر شما چیست؟[PAD]",conform
[CLS]اصلااا محلش نزار بزا ادم شع[SEP]مادرم با پدرم تماس گرفت و خواست با شوهرم حرف بزند، اما شوهرم رفته بود و با او حرف نزده است. من هم به دنبالش رفتم اما پیدا نشد. بی‌دلیل مادرم عصبانی شده است. حالا من پیشنهاد دادم با هم به خانه مادرم برویم اما او نیامد. ما به خانه مادر شوهرم رفتیم و خالش با مادرش تماس گرفت و گفت که می‌خواهد با همسرم حرف بزند، من هم بیرون رفتم تا او حرف نزند. شوهرم خیلی حرف زیاد زده و گفت که فردا می‌برمش خانه مادرش. من ناراحت شدم و گفتم که خودم الان می‌روم. در حضور مادرش، او به من حمله کرد و مرا ضربه زد. الان او دارد منت کشی می‌کند.[PAD],conform
[CLS]ياد رانندگي ياد گرفتن خودم افتادم پنج سال پيش شوهرم ميخواست خير سرس بهم ياد بده اينقدر اعتماد به نفسمو گرفت كه نگو 😢همش توپ و تشر ميرفت بهم منم از ماشين پياده ميشدم درو محكم ميكوبيدم ميگفتم اصلا نميخوام بهم ياد بدي ولي واقعا كارم اشتباه بود كه با شوهرم ياد گرفتم چون اصلا نشستم تا الان كه پنج سال گذشته بزور و اصرار دوستام دارم ميشينم ولي بازهم ترس تو بدنمه هيچ وقت هيچ وقت هيچ وقت با شوهرتون نريد اموزش رانندگي[SEP]یک زن و مرد بیرون رفتند و رانندگی کردند. مرد خوبی بود اما کمی کم حوصله بود. زن بار سوم یا چهارم رانندگی کرد و اشتباه کرد. مرد به شوخی گفت که اگر اشتباه کنی، باز هم می‌زنمت. زن دوباره اشتباه کرد و مرد به شدت داد زد و دهن زن کرخت شد.[PAD],empathy
"[CLS]باشه یه بار غیر مستقبم بگو خدا کنه هر مردی دست رو زن بلند میکنه دستش بشکنه بگو همچین مردای حیونی بزرگ شده دست یه مادر سگن[SEP]شوهرم به من خیلی بد میزند و من نمی‌توانم به خانواده‌ام بگویم.,ما در خانه مادر شوهرم زندگی می‌کنیم و نمی‌توانیم خانه بخریم.,شوهرم همیشه من را مورد خشونت قرار می‌دهد و اوضاع بدتر می‌شود.[PAD]",empathy
[CLS]آدم خودش باید عاقل باشه و دلسوز خودش باشه.[SEP]یک هفته اس که کتک خورده، جای خواب جدا شده، غذا نمی‌خورده و اهنگ می‌زاشته و بشکن می‌زده. دیر رسیده بودم و کسی که روم حساس بود ناراحت بود. درد شدیدی داشت و با پزشک حرف زد و به دکتر گفت مشکلش را. بعد از یواشکی پشت در گوش می‌داد و وقتی برگشت، دستش را کشید و پرسید کجا درد می‌کند و آیا قرص خورده است.[PAD],conform
[CLS]برو پزشکی قانونی تا جای ناخن خوب نشده ی پرونده تشکیل بده[SEP]در این داستان، زنی که تازه زایمان کرده است، به دنبال راهی است تا از شوهر خشن و خشمگین خود محافظت کند. او میخواهد بفهمد آیا میتواند به پزشکی قانونی مراجعه کند یا نه. همچنین، او نگران است که خانواده اش در مورد وضعیتش بدانند و از این رو میترسد که همه چیز بدتر شود.[PAD],confront
"[CLS]چند تا تاپیک زدی ده تا[SEP]دو نفر درگیری و قهر و بی محلی دارند.,یکی از آنها به دیگری فحش می‌دهد و او را مورد خشونت قرار می‌دهد.,در نهایت، فردی که مورد خشونت قرار گرفته است، نمی‌داند چه کاری باید بکند.[PAD]",other
[CLS]چقد بدبین[SEP]دختری که در دوران نامزدی به طلاق کشیده و الان میخواهد طلاق بگیرد. شوهرش او را تهدید میکند و میگوید طلاقش را نمی‌دهد. خانواده او نیز از وضعیت او اطلاع دارند اما او نمی‌تواند کمکی دریافت کند.[PAD],empathy
[CLS]عزیزم هیچوقت سعی کن ب مادرش توهین نکنی هرکاریم کرد تو دلت نگهدار جمع کن بعدش اگر شد هضم کن نشد یروز بلخره همشو بروشون میاری و میری بخوای سر هر چیزی بگی ننت اینو کرد اونو کرد از الان تو ضرر میکنی[SEP]مردی با مادرشوهر بدجنس و عجوز دارای مشکلاتی است. مادرشوهر الکی به مریضی می‌رود و مرد با شوهر احمقش به دلیل این مشکل دعوا می‌کند. در نهایت، شوهر مرد به دلیل مشکلات با مادرشوهر، به او خشونت می‌آورد.[PAD],empathy
"[CLS]تو هم دوتا بزن وسط پاش تا جیغ بکشه  مثل اسب بفهمه دست بلند کردن یعنی چی[SEP]در داستان، شخصیت اصلی و همسرش به دلیل مشاجره و ناراحتی ها به هم می‌زنند.,شخصیت اصلی توسط همسرش مورد خشونت قرار می‌گیرد و ضرب و شتم می‌شود.,شخصیت اصلی نگرانی برای وضعیت پدرش که قلبش تازه عمل کرده دارد و درد شدیدی در سر و گردن و گوش و پهلوهایش دارد.[PAD]",confront
[CLS]پاشو برو ازش شکایت کن برو پزشکی قانونی یه مدرک دستت باشه[SEP]زن و شوهر در حال بحث هستند و زن توسط شوهرش ضربه می‌بیند. زن ناخواسته افطار نمی‌کند و نمی‌داند چه کاری باید انجام دهد.[PAD],conform
[CLS]آره تو این جور مواقع زنا زودتر خسته میشن و راضی به برگشت میشن،،هم بچه تو خونه دیگرون راحت نیست،بهونه گیری میکنه از اون ورم خود خانم اعصابش خرابِ از ی طرف دلتنگی برا خونه،ولی مردا از هفت دولت آزادن و تحملشون هم بالاس،،پس زنی ک تحملش کمه از این روش برِ ی جورایی با برگشتش هم طرف پرو میشه هم حرمتا بین خانواده میره..[SEP]یک زن مشکلات خانوادگی با شوهر خود را دارد، او به خاطر تندی و بی احترامی شوهرش از خانه طرد شده است. شوهر همچنان ادامه می‌دهد و به او فحش‌های ناموسی می‌دهد.[PAD],empathy
"[CLS]آها, من تازه عضو شدم زیاد قوانین این سایت رو نمیدونم[SEP]دختر به شوهرش فحش داد و او را به خیانت متهم کرد. شوهر هم از این بهانه برای مصرف مواد مخدر استفاده می‌کند. دختر نمی‌داند چه کاری باید بکند.[PAD]",other
[CLS]از ۹ تا ۱۷ که عضو شدی این همه اتفاق یه جا افتاده تو زندگی ات تولد و بارداری و کتک و پلیس و پزشک قانونی ولی اگه دروغه به این چیزا فکر نکن چون تو زندگی واقعی به سرت میاد[SEP]من شکایت کردم که برادرم دیروز بچه را برداشت و مادرش تهدیدم میکند که اگر شکایتم را پس نگیرم، بچه را از من میگیرد. خانواده ام به من گفتند که شکایتم را پس بگیرم وگرنه طلاق میگیرم. من نمی‌دانم چه کار کنم، چون اگر بچه را پس بگیرم، دوباره میزند و اگر نگیرم، مادر شوهرم بچه را ازم میگیرد.[PAD],conform
[CLS]عزیزم هر یکی اخلاقش یجوره منم شوهرم با برادرشوهرام زمین تا اسمون فرق داره-اگه اونا ازمون کاری بخوان انجام میده ولی اگه ما بگیم زناشونو ترجیح میدن به برادر اهمیت نده[SEP]یک زن با شوهرش درگیر شده و به خانه جاریشان رفته، جایی که دو سال است که عروسی کرده‌اند. در آنجا با جواب‌های ناخوشایندی مواجه شده و به باشگاه و تفریحات هفتگی شوهرش اعتراض کرده است. در پایان، از او دعوت به تعارف شده است.[PAD],empathy
[CLS]وای چه بد🙁😔[SEP]در یک دعوا خانوادگی، شوهرم توسط خانواده‌اش تحت فشار قرار گرفت و به من حمله کرد. سپس مادر و خواهر شوهرم به اشتباه ادعا کردند که من شوهرم را زده‌ام و او را ترک کردم. در نهایت، من تصمیم گرفتم از رابطه و خانواده‌ام گذشته و طلاق بگیرم.[PAD],empathy
[CLS]بچه داری ؟[SEP]مادرشوهرش با حرفاش دلشو شکست. شوهرش لباس تنش کرد و اونا برای بحث به اتاق رفتن. شوهرش به او حمله کرد و کتکش زد.[PAD],other
[CLS]عزیزم مردا همینجور جوگیر هستن چه برسه خونه ننه جوتشون حداقل میداشتی میرفتی خونتون تو خوته پدرشون هارشدن ۱۰۰ برابر میشه[SEP]مادرشوهرش با حرفاش دلشو شکست. شوهرش لباس تنش کرد و اونا برای بحث به اتاق رفتن. شوهرش به او حمله کرد و کتکش زد.[PAD],empathy
"[CLS]عزیزم با هم حرف بزنید دعوا کردن هم قانون داره.[SEP]شوهر من در حال عصبانیت شدید است و در دعواها به من خشونت می‌کند.,او قبلاً هم به من ضربه زده است و این بار نیز مشت خود را به صورتم زده است.,او به تهدیدات من بی‌اعتناست و من نمی‌دانم چه کاری باید بکنم.[PAD]",conform
[CLS]مردی که بهت آسیب بزنه خطرناکه[SEP]زنی به خانه مادرش رفت و بعد از دو هفته شوهرش تماس گرفت تا برگردد. آنها با هم به خانه رفته و بعد از خوردن شام به خانه بازگشتند. در یک بحث، شوهر زن کتکش زد و در شب بعد نیز دوباره کتکش زد.[PAD],confront
[CLS]از این شوخی های پشت وانتی نکن منم بودم عکس العمل تند نشون میدادم یعنی چی اینکارا ادم جا میخوره و اذیت میشه[SEP]شخصی شوخی کرد و آب روی لباسش ریخت. سپس با تهدید و دردناک بودن، او را مجبور به ترک دستمالی کرد. در نهایت، شخص از او فرار کرد و تصمیم گرفت با او دیگر شوخی نکند.[PAD],conform
[CLS]خداییش چتونه پس مادر مستقل و باهوشی ک بچه نیاز داره چی اینجا اگ بچتون بخاطر این زندگی سرزنشت کنه چی بعدشم کسی مجبورت نکرده بچه بیارید ولی تاوان دل شکستشون و مشکلات روحیشونو شما میدید بخاطر استرس موقع بارداری اتفاقی واسش بیفته معلولیتی کم شنوایی چیزی خونش گردن توه[SEP]شام جمعه شب، شوهرم و مادرم به خاطر غذا مشکل داشتند و من در نتیجه جراحاتی دیدم. بعد از آن، من با خونریزی شدید پریود شدم و درد زیادی داشتم. در نهایت، درمان در پزشکی قانونی به دردم توجه نکردند.[PAD],conform
[CLS]قسم دروغ که خیلیا میخورن ولی اگه اندک دین و ایمانی داشته باشه میترسه به دروغ تو دادگاه دست رو قرآن بذاره و قسم بخوره و بگه چون این کار علاوه بر عقوبت الهی در صورت اینکه خلافشو ثابت کنید جرم بزرگیه[SEP]فردا جلسه دادگاه من و شوهرمه بخاطر ضرب و جرح. شوهرم از مادر و خواهرم شکایت کرده و من هم شکایت کردم بخاطر تجاوز به فرزندم. شوهرم میخواد شاهد بیاره که خواهرزنم بابامو زده.[PAD],empathy
